Question,Answer
What is the specialization of Dr.R.Velavan?,"The specializations of Dr.R.Velavan are Renewable Energy, Thermal Engineering, GHG Mitigation."
What is the specialization of Dr.A.Ramesh Babu?,The specialization of Dr.A.Ramesh Babu is Manufacturing Engineering.
What is the specialization of Dr.D.Rajenthirakumar?,The specialization of Dr.D.Rajenthirakumar is Production Engineering.
What is the specialization of Dr.T.Prabu?,The specialization of Dr.T.Prabu is Thermal Fluid Mechanics.
What is the specialization of Dr.M.Yuvaraja?,"The specializations of Dr.M.Yuvaraja are CAD/CAM, Vibrations and Lean Manufacturing."
What is the specialization of Dr.V.Jaiganesh?,"The specializations of Dr.V.Jaiganesh are Engineering Drawing, Industrial Metallurgy, Engineering Economics, Operations Research."
What is the specialization of Dr.S.Syath Abuthakeer?,"The specializations of Dr.S.Syath Abuthakeer are CAD/CAM, Machine Tool, Vibration, Composite Materials, Lean Manufacturing."
What is the specialization of Dr.S.Babu?,The specialization of Dr.S.Babu is Thermal Engineering and Energy Engineering.
What is the specialization of Dr.P.Viswanathan?,"The specializations of Dr.P.Viswanathan are CFD, Energy and Production Engineering."
What is the specialization of Dr. N.Ganesh Kumar?,"The specializations of Dr. N.Ganesh Kumar are Industry 4.0, Industrial and Systems Engineering."
What is the specialization of Dr.A.S. Prasanth?,"The specializations of Dr.A.S. Prasanth are Composites, Industrial Engineering."
What is the specialization of Dr.R.Prakash?,"The specializations of Dr.R.Prakash are Manufacturing Processes, Sensorics, Composite."
What is the specialization of Dr.M.Parthiban?,"The specializations of Dr.M.Parthiban are ERP, Metrology, Micro Machining."
What is the specialization of Dr.T.Magesh?,"The specializations of Dr.T.Magesh are Heat Transfer and Fluid Flow, CFD, CAD/CAE and FEA."
"What is the specialization of Dr.V.Vijayakumar,Assistant Prof. (Sl.Gr.)?","The specialization of Dr.V.Vijayakumar,Assistant Prof. (Sl.Gr.) is Manufacturing Engineering."
What is the specialization of Dr.C.Shanmugam?,The specialization of Dr.C.Shanmugam is Engineering Design.
What is the specialization of Dr.P.Govindaraj?,The specialization of Dr.P.Govindaraj is Engineering Design.
What is the specialization of Dr.T.Karthik?,The specialization of Dr.T.Karthik is Lean Manufacturing.
What is the specialization of Dr.R.Arun Kumar?,The specialization of Dr.R.Arun Kumar is Fluid and Thermal Science.
What is the specialization of Ms.B.Vaishnavi?,The specialization of Ms.B.Vaishnavi is Computer Integrated Manufacturing.
What is the specialization of Ms.M.Gomathi Prabha?,"The specializations of Ms.M.Gomathi Prabha are Lean Manufacturing, Industrial Engineering."
What is the specialization of Dr. K.Mayilsamy?,The specialization of Dr. K.Mayilsamy is Heat Transfer and Fluid Flow and Internal Combustion Engines.
What is the specialization of Mr.N.Mathimurugan?,The specialization of Mr.N.Mathimurugan is Production Engineering.
What is the specialization of Dr.K.Sripriyan?,The specialization of Dr.K.Sripriyan is Welding/ Machine Tool.
What is the specialization of Dr. P.Dhanabal?,The specialization of Dr. P.Dhanabal is Product Design and Commerce.
What is the specialization of Mr.R.Venkatesh?,The specialization of Mr.R.Venkatesh is Energy Engineering.
What is the specialization of Dr. A.Adhiyamaan?,The specialization of Dr. A.Adhiyamaan is Design and Manufacturing.
What is the specialization of Dr.M.Kalayarasan?,The specialization of Dr.M.Kalayarasan is Engineering Design.
What is the specialization of Mr.R.Jegathishkumar?,The specialization of Mr.R.Jegathishkumar is Thermal Engineering.
What is the specialization of Mr.R.ArunRamnath?,The specialization of Mr.R.ArunRamnath is Engineering Design.
What is the specialization of Dr.N.Mahendrakumar?,The specialization of Dr.N.Mahendrakumar is Engineering Design.
What is the specialization of Mr.R.Ramesh?,The specialization of Mr.R.Ramesh is Advanced Manufacturing Technology.
What is the specialization of Mr.A.Mohan?,The specialization of Mr.A.Mohan is CIM.
What is the specialization of Mr.S.Vijay?,The specialization of Mr.S.Vijay is Lean Manufacturing.
What is the specialization of Dr.J.KRISHNAMOORTHI?,"The specializations of Dr.J.KRISHNAMOORTHI are Metal Joining, Iron and Steel Making, Metallurgical Failure Analysis, Materials Characterisation, Physical Metallurgy."
What is the specialization of Dr.R.SUBRAMANIAN?,"The specializations of Dr.R.SUBRAMANIAN are Physical Metallurgy, Nanomaterials, Mechanical Alloying, Metal Matrix Composite, Sol-Gel Synthesis."
What is the specialization of Dr.K.THILLAIRAJAN?,"The specializations of Dr.K.THILLAIRAJAN are Steel Metallurgy, Welding Metallurgy, Non Destructive Testing, Surface Engineering."
What is the specialization of Dr.J.ANBURAJ?,"The specializations of Dr.J.ANBURAJ are Foundry Metallurgy, Ferrous and Non Ferrous Alloys and Heat Treatment, Casting Engineering."
"What is the specialization of Dr. R.SIVASANKARI,Assistant Professor(Sr.Grade) CAS?","The specializations of Dr. R.SIVASANKARI,Assistant Professor(Sr.Grade) CAS are Welding Metallurgy, Welding Consumable development."
What is the specialization of Dr. M.KAVITHA?,"The specializations of Dr. M.KAVITHA are Phase Transformations, Powder Metallurgy, Nano Materials Technology, Biomaterials, Heat Treatment, Porous Materials."
What is the specialization of Dr.P.GOPALAKRISHNAN?,"The specializations of Dr.P.GOPALAKRISHNAN are Heat Treatment, Surface Engineering, Physical Metallurgy."
What is the specialization of Dr.G.VENKATESH?,"The specializations of Dr.G.VENKATESH are Ceramics and Composites, Physical Metallurgy, Materials Modelling, Characterization Techniques."
What is the specialization of R.DHANASEKAR?,"The specializations of R.DHANASEKAR are Welding Metallurgy, Materials Modelling, Selection of materials, Heat Treatment and Surface Engineering."
What is the specialization of J.ABUTHAKIR?,"The specializations of J.ABUTHAKIR are Composites processing, Composites characterization."
What is the specialization of K.KRISHNA KUMAR?,"The specializations of K.KRISHNA KUMAR are Computational thermodynamics, Casting, Stainless Steels, Corrosion."
What is the specialization of P. MANIKANDAN?,The specialization of P. MANIKANDAN is Welding Metallurgy.
What is the specialization of Dr. NAGARAJ CM?,"The specializations of Dr. NAGARAJ CM are Metallurgy, Materials Science and Engineering."
What is the specialization of Dr. MANU S MOHAN?,"The specializations of Dr. MANU S MOHAN are Physical Metallurgy, shape memory alloys."
What is the specialization of Dr.P.ANBARASI?,"The specializations of Dr.P.ANBARASI are Advanced Ceramics, Powder Metallurgy, Material Science."
What is the specialization of Dr.M.Senthilkumar?,"The specializations of Dr.M.Senthilkumar are Machine Design, Composites, Vibration, Smart Structures."
What is the specialization of Dr.S.R.Devadasan?,"The specializations of Dr.S.R.Devadasan are Industrial Engineering, Total Quality Management, Agile Manufacturing, Total Productive Maintenance, Lean Manufacturing."
What is the specialization of Dr.V.Krishnaraj?,"The specializations of Dr.V.Krishnaraj are Metal cutting, Tool design, Composite Materials & NTM Processes."
What is the specialization of Dr.G.Madhan Mohan?,"The specializations of Dr.G.Madhan Mohan are Production Engineering, Ergonomics, Robotics, CNC."
What is the specialization of Dr.R.Gandhinathan?,"The specializations of Dr.R.Gandhinathan are Industrial Engineering, Operations Management, Concurrent Engineering, Industrial Economics, Cost Management, Financial Management."
What is the specialization of Dr.S.Saravanan?,"The specializations of Dr.S.Saravanan are Vibration, Fatigue, Sheet Metal Forming."
What is the specialization of Dr.S.Elangovan?,"The specializations of Dr.S.Elangovan are Manufacturing Technology, CAD/CAM, Welding, Metal Forming."
What is the specialization of Dr.S.P.Leo Kumar?,The specialization of Dr.S.P.Leo Kumar is Production Engineering.
What is the specialization of Dr.M.R.Pratheesh Kumar?,"The specializations of Dr.M.R.Pratheesh Kumar are Manufacturing Engineering, Micro Machining, Industrial Metrology, CAD/CAM."
What is the specialization of Dr. J. Pradeep Kumar?,"The specializations of Dr. J. Pradeep Kumar are Ultrasonic Metal Welding, Production Tooling, Operations Management."
What is the specialization of Dr.R.Rajamani?,"The specializations of Dr.R.Rajamani are Manufacturing Metrology, Machine Vision, Liquid Sloshing."
What is the specialization of Dr.K.Anand?,"The specializations of Dr.K.Anand are Ultrasonic Welding, Additive Manufacturing."
What is the specialization of R.Arun Prakash?,"The specializations of R.Arun Prakash are Engineering Design, CAD/CAM."
What is the specialization of Dr.R.Rajesh?,"The specializations of Dr.R.Rajesh are Product Design, Metal Forming, Optimization."
What is the specialization of Dr.K.Somasundara Vinoth?,"The specializations of Dr.K.Somasundara Vinoth are Materials Engineering, Manufacturing Engineering, Tribology."
What is the specialization of Mr.K.Pradeep?,"The specializations of Mr.K.Pradeep are Virtual Reality, Augmented Reality and Product Development."
What is the specialization of Dr.R.Mohanraj?,The specialization of Dr.R.Mohanraj is Manufacturing Engineering and Metal Forming Processes.
What is the specialization of Mr.A.Dhilip?,The specialization of Mr.A.Dhilip is Manufacturing.
What is the specialization of Dr. Jayakrishnan Nampoothiri?,"The specializations of Dr. Jayakrishnan Nampoothiri are Materials Engineering, Casting and Solidification."
What is the specialization of Mr.V.Raja?,The specialization of Mr.V.Raja is Additive Manufacturing Multi-material Casting.
What is the specialization of Dr.Renjin J Bright?,The specialization of Dr.Renjin J Bright is Engineering Design.
What is the specialization of Mr. Brajesh Kumar Kanchan?,"The specializations of Mr. Brajesh Kumar Kanchan are Lithium-ion Battery, Fuel Cell, Lean Manufacturing."
What is the specialization of Dr.R.Rudramoorthy?,"The specializations of Dr.R.Rudramoorthy are Mechanical Engineering, Heat Power Engineering, Thermal Hydraulics(PhD)."
What is the specialization of Mr.K.Saravanakumar?,"The specializations of Mr.K.Saravanakumar are Manufacturing, Welding."
What is the specialization of Mr.C.Vigneswaran?,The specialization of Mr.C.Vigneswaran is Production Engineering.
What is the specialization of Mr. P. Ashok?,"The specializations of Mr. P. Ashok are Manufacturing Technology, Ergonomics, Industrial Engineering, CAD/CAM."
What is the specialization of Mr.N.Krishnakumar?,"The specializations of Mr.N.Krishnakumar are Fluid Power, Automation, Composite Materials, Manufacturing Technology, IIoT."
What is the specialization of Mr.R.Naveen Anthuvan?,The specialization of Mr.R.Naveen Anthuvan is Computer Integrated Manufacturing.
What is the specialization of Dr.S.Pratheesh Kumar?,"The specializations of Dr.S.Pratheesh Kumar are Rapid free forming, Additive manufacturing & Advanced Manufacturing Processes."
What is the specialization of Mr.K.S.Manobala?,"The specializations of Mr.K.S.Manobala are Materials and Metallurgy, Metal Casting, Composites."
What is the specialization of Mr.S.Hari Chealvan?,"The specializations of Mr.S.Hari Chealvan are Computer Integrated Manufacturing, CNC, High Speed Machining."
What is the specialization of Mr.N.Muthuram?,"The specializations of Mr.N.Muthuram are Mechanical Vibrations, Optimization, Fatigue Life Study."
What is the specialization of Mr.S.Jagatheeshkumar?,"The specializations of Mr.S.Jagatheeshkumar are Automation, Metal Cutting."
What is the specialization of Dr.S.Prithivirajan?,The specialization of Dr.S.Prithivirajan is Mechanical Engineering.
What is the specialization of Dr. JONAH?,"The specializations of Dr. JONAH are Production and FSW of Al MM composites, Modeling of Welding processes, Surfacing, Welding process optimization, WAAM FEA of weldments, Robotic Welding.."
What is the specialization of Dr. G. SUBASHINI?,"The specializations of Dr. G. SUBASHINI are Machine learning, Artificial Intelligence, Evolutionary computing."
What is the specialization of Dr. M. SURESH?,"The specializations of Dr. M. SURESH are Computer Integrated Manufacturing, Automation."
What is the specialization of Dr. B. BINDU?,"The specializations of Dr. B. BINDU are Control Systems, Electrical Machines, Renewable Energy."
What is the specialization of Dr. S. PRABHAKARAN?,"The specializations of Dr. S. PRABHAKARAN are Machine Design, Composite Materials, Robotic Welding, Additive Manufacturing."
What is the specialization of Ms. V. VISHWA PRIYA?,The specialization of Ms. V. VISHWA PRIYA is Fluid Power in Automation.
What is the specialization of Dr. Anbarasi MP?,The specialization of Dr. Anbarasi MP is Control Systems.
What is the specialization of Dr. P.D. RATHIKA?,"The specializations of Dr. P.D. RATHIKA are Computer Vision, Wireless Networks."
What is the specialization of Ms. V. PARVATHI PRIYA?,"The specializations of Ms. V. PARVATHI PRIYA are Industrial Automation, PLC, SCADA, IoT and Power Electronics and Drives."
What is the specialization of Ms. M. SINDHU?,The specialization of Ms. M. SINDHU is Artificial Intelligence.
What is the specialization of Mr. K. SENTHIL KUMAR?,The specialization of Mr. K. SENTHIL KUMAR is Control Systems.
What is the specialization of Dr. JONAH?,"The specializations of Dr. JONAH are Production and FSW of Al MM composites, Modeling of Welding processes, Surfacing, Welding process optimization, WAAM FEA of weldments, Robotic Welding."
What is the specialization of Dr. G. SUBASHINI?,"The specializations of Dr. G. SUBASHINI are Machine learning, Artificial Intelligence, Evolutionary computing."
What is the specialization of Dr. M. SURESH?,"The specializations of Dr. M. SURESH are Computer Integrated Manufacturing, Automation."
What is the specialization of Dr. B. BINDU?,"The specializations of Dr. B. BINDU are Control Systems, Electrical Machines, Renewable Energy."
What is the specialization of Dr. S. PRABHAKARAN?,"The specializations of Dr. S. PRABHAKARAN are Machine Design, Composite Materials, Robotic Welding, Additive Manufacturing."
What is the specialization of Ms. V. VISHWA PRIYA?,The specialization of Ms. V. VISHWA PRIYA is Fluid Power in Automation.
What is the specialization of Dr. Anbarasi MP?,The specialization of Dr. Anbarasi MP is Control Systems.
What is the specialization of Dr. P.D. RATHIKA?,"The specializations of Dr. P.D. RATHIKA are Computer Vision, Wireless Networks."
What is the specialization of Ms. V. PARVATHI PRIYA?,"The specializations of Ms. V. PARVATHI PRIYA are Industrial Automation, PLC, SCADA, IoT and Power Electronics and Drives."
What is the specialization of Ms. M. SINDHU?,The specialization of Ms. M. SINDHU is Artificial Intelligence.
What is the specialization of Mr. K. SENTHIL KUMAR?,The specialization of Mr. K. SENTHIL KUMAR is Control Systems.
What is the specialization of Dr. M. Ananthasubramanian?,The specialization of Dr. M. Ananthasubramanian is Applied Microbiology.
What is the specialization of Dr. P. Rani?,The specialization of Dr. P. Rani is Biochemistry.
What is the specialization of Dr. Selvi Subramanian?,The specialization of Dr. Selvi Subramanian is Plant Molecular Biology.
What is the specialization of Dr. J. Hema?,The specialization of Dr. J. Hema is Environmental Biotechnology.
What is the specialization of Dr. S. Vidyalakshmi?,The specialization of Dr. S. Vidyalakshmi is Biotechnology.
What is the specialization of Dr. J. Poongothai?,The specialization of Dr. J. Poongothai is Molecular Biology.
What is the specialization of Dr. S. Niju?,"The specializations of Dr. S. Niju are Chemical Engineering, Biofuels, Bio-Energy."
What is the specialization of Mr. G. Karthik Vijayakumar?,The specialization of Mr. G. Karthik Vijayakumar is Techno-economic and sustainability analysis.
What is the specialization of Dr P Hariharan?,"The specializations of Dr P Hariharan are Reactor Design, Wastewater Treatment, Enzymes for Industrial applications, Bioprocess Engineering, Hydrodynamic cavitation, Bioreaction Engineering, Halophile enzyme for industrial applications, and ARTP for Microbial strain improvement."
What is the specialization of Ms. V. Sindhu?,The specialization of Ms. V. Sindhu is Industrial Biotechnology.
What is the specialization of Dr. Siddhi S?,The specialization of Dr. Siddhi S is Bioprocess Engineering.
What is the specialization of Dr. C. Vignesh Kumar?,"The specializations of Dr. C. Vignesh Kumar are Biochemistry, Biophysics, Protein Engineering, Bio-analytical Methods."
What is the specialization of Dr. K. Banu Pradheepa?,"The specializations of Dr. K. Banu Pradheepa are Biomaterials, Tissue Engineering and Microbiology."
What is the specialization of Dr. S. Shobana?,"The specializations of Dr. S. Shobana are Bioinformatics, OMICS, Systems Biology."
What is the specialization of Mr. V. Venkataramanan?,"The specializations of Mr. V. Venkataramanan are Bioinformatics, Computational Biology."
What is the specialization of Dr.P.Kandhavadivu?,"The specializations of Dr.P.Kandhavadivu are Hospital Textiles, Clothing Comfort, Yarn Technology, Pattern Engineering, Draping Techniques."
What is the specialization of Dr. R. Rathinamoorthy?,"The specializations of Dr. R. Rathinamoorthy are Apparel Merchandising, Apparel Costing, Apparel Machinery, Sustainability in Fashion and Textile."
What is the specialization of Dr. P. KANAKARAJ?,"The specializations of Dr. P. KANAKARAJ are Knitting Technology, Fabric design, Knit Wear Design, Home Textiles, CAD and Interior Design."
What is the specialization of Dr.K.Chandrasekaran?,"The specializations of Dr.K.Chandrasekaran are Industrial Engineering, Industrial Management, Spinning, Garment Manufacturing Technology, Computer Integrated Apparel Manufacture, Lean manufacturing of apparels, Ergonomics in clothing Industry, Fashion CAD."
What is the specialization of Dr. M.Parthiban?,"The specializations of Dr. M.Parthiban are Textile Chemical Processing, Textile Physics, Apparel finishing, Functional Apparels."
What is the specialization of Dr.S.Sudha?,The specialization of Dr.S.Sudha is Textile Technology.
What is the specialization of Dr.M.R.Srikrishnan?,"The specializations of Dr.M.R.Srikrishnan are Clothing science and Comfort, Home Textiles, Functional apparels and clothing, Electronics in Apparel Design, Apparel Quality Evaluation, Interior-Designing."
What is the specialization of Dr.R.Surjit?,"The specializations of Dr.R.Surjit are ERP, Apparel quality control, Apparel Machinery, Textile and apparel management."
What is the specialization of Mrs.V.Yamuna?,"The specializations of Mrs.V.Yamuna are Antimicrobial textiles, natural dyeing, Incontinent pads."
"What is the specialization of Mrs. L.Suvitha,Assistant Professor (Sr.Gr)?","The specializations of Mrs. L.Suvitha,Assistant Professor (Sr.Gr) are Pattern Making, Garment Construction, Visual merchandising."
What is the specialization of Mrs. B.Charmini?,The specialization of Mrs. B.Charmini is Marketing and Merchandising.
What is the specialization of Dr. K. Umamaheswari?,"The specializations of Dr. K. Umamaheswari are Cognitive Radio Networks, Data Mining, Data Analytics, Artificial Intelligence, Machine learning."
What is the specialization of Dr. K. R. Chandran?,"The specializations of Dr. K. R. Chandran are Computer Networks, IOT, Process Control System, Software Engineering, Microprocessor & Controller."
What is the specialization of Dr .D. Karthika Renuka?,"The specializations of Dr .D. Karthika Renuka are Data Mining, Soft Computing, Evolutionary Algorithm, Deep Learning."
What is the specialization of Dr. B. Vinoth Kumar?,The specialization of Dr. B. Vinoth Kumar is Computational Intelligence.
What is the specialization of Dr. K. ANITHA KUMARI?,"The specializations of Dr. K. ANITHA KUMARI are Blockchain, Web Service Security, Cryptography and Network Security, Quantum Computing, Attacks & Defense, Cloud Computing, Bioinformatics, Data Structures and Algorithm Analysis."
What is the specialization of Dr. S. Sarathambekai?,"The specializations of Dr. S. Sarathambekai are Programming languages, Database, Web Technologies, Distributed component."
What is the specialization of Dr. R. Rekha?,"The specializations of Dr. R. Rekha are Communication Engineering, Digital Electronics, Deep Learning, Data mining, Machine Learning."
What is the specialization of Dr. T. Vairam?,"The specializations of Dr. T. Vairam are Wireless Sensor Networks, Blockchain."
What is the specialization of Dr.N.Hema Priya?,"The specializations of Dr.N.Hema Priya are Web Services, Open Source Systems, Security."
What is the specialization of Dr. B. Sangeetha?,"The specializations of Dr. B. Sangeetha are DBMS, Cloud Computing, Semantic Web."
What is the specialization of Dr. R. Senthil Prabha?,"The specializations of Dr. R. Senthil Prabha are Biometrics, Software Engineering, Cyber Security, Mobile Computing, Wireless Networks."
What is the specialization of Mrs. C. Akalya Devi?,"The specializations of Mrs. C. Akalya Devi are Programming languages, Data Mining, Web Technology."
What is the specialization of Mrs. S. Shymala Gowri?,"The specializations of Mrs. S. Shymala Gowri are Information Security, Security Analytics."
What is the specialization of Mrs. R. Padmashani?,"The specializations of Mrs. R. Padmashani are Machine Learning, Network Security, Data Structures and Algorithms."
What is the specialization of Mrs. K.P.Thamil Selvi?,"The specializations of Mrs. K.P.Thamil Selvi are Software Engineering, Graphics and Multimedia, Software Testing, Theory of Computation, Environmental Science."
What is the specialization of Mrs.G.Sindhu?,"The specializations of Mrs.G.Sindhu are DBMS, Semantic Web, Big Data, Data Science."
What is the specialization of Mrs. D. Dharani?,The specialization of Mrs. D. Dharani is Information Technology.
What is the specialization of Mrs. R. Anusuya?,"The specializations of Mrs. R. Anusuya are Cyber Security, Networks, Unix Internals, Communication Systems, Secure Coding, Theory of Computing."
What is the specialization of Dr. S. SANGEETHA?,"The specializations of Dr. S. SANGEETHA are Big Data, Data Mining, Machine Learning, Deep Learning, Privacy Preservation."
What is the specialization of Mrs. S. Priya?,"The specializations of Mrs. S. Priya are IoT, Wireless Sensor Networks, Cloud Computing."
What is the specialization of Mrs. P. Jeneesha?,The specialization of Mrs. P. Jeneesha is Information Technology.
What is the specialization of Ms.Mahalakshmi G?,"The specializations of Ms.Mahalakshmi G are Data Mining, Database Management Systems, Programming in C, Java and Python, Operating Systems."
What is the specialization of Ms. Shruti. P?,"The specializations of Ms. Shruti. P are Cryptography and Network Security, Database Management Systems, Web Technologies, Programming in C, Java and Python, Operating Systems, Data Integration and Deep Learning."
What is the specialization of Dr.G.Thilagavathi?,The specialization of Dr.G.Thilagavathi is Textile Technology.
What is the specialization of Dr.R.Murugan?,"The specializations of Dr.R.Murugan are Yarn, Fabric Manufacture, Composites."
What is the specialization of Dr.M.Senthilkumar?,"The specializations of Dr.M.Senthilkumar are Textile Chemical Processing, Colour Science, Environmental Management."
What is the specialization of Dr.S.Viju?,"The specializations of Dr.S.Viju are Technical Textiles, Fibre Science & Technology."
What is the specialization of Dr.P.Senthilkumar?,"The specializations of Dr.P.Senthilkumar are Clothing Comfort, Clothing Science, Textile & Apparel Product Engineering."
What is the specialization of Dr.J.C.Sakthivel?,"The specializations of Dr.J.C.Sakthivel are Natural fibers, Yarn Manufacture, Nonwovens, Textile Composites, Technical Textiles."
What is the specialization of Mr.G.Maheswaran?,"The specializations of Mr.G.Maheswaran are Weaving, Garmenting, Industrial Engineering."
What is the specialization of Dr.T.Karthik?,The specialization of Dr.T.Karthik is Textile Technology.
What is the specialization of Dr.P.Ganesan?,The specialization of Dr.P.Ganesan is Textile Technology.
What is the specialization of Mr.S.Kumaravel?,"The specializations of Mr.S.Kumaravel are Weaving, Industry Management & Quality Control, Fabric Structure."
What is the specialization of Dr.N.Muthukumar?,"The specializations of Dr.N.Muthukumar are Textile Quality Evaluation, Electro active Textiles."
What is the specialization of Dr.H.Rammohan?,The specialization of Dr.H.Rammohan is Non Woven & Technical Textiles.
What is the specialization of Dr.J.Krishnasamy?,The specialization of Dr.J.Krishnasamy is Textile Technology.
What is the specialization of Mrs.S.Tharakeswari?,The specialization of Mrs.S.Tharakeswari is Textile Technology.
What is the specialization of Mr.Vijayasekar R?,The specialization of Mr.Vijayasekar R is Textile Engineering.
What is the specialization of M.Jaya Bharathi?,"The specializations of M.Jaya Bharathi are Fibre Science, Acoustic textiles, Textile Quality Evaluation."
What is the specialization of Dr.A.Chitra?,"The specializations of Dr.A.Chitra are Algorithm Design, Artificial Intelligence, Machine Learning."
What is the specialization of Dr G A Vijayalakshmi Pai?,"The specializations of Dr G A Vijayalakshmi Pai are Computational Intelligence, Computational Finance, Machine Learning, Pattern Recognition."
What is the specialization of Dr.A.Sankar?,"The specializations of Dr.A.Sankar are Agile Computing, Pattern Recognition, Wireless Networks, Social Networks."
What is the specialization of Dr. R.MANAVALAN?,"The specializations of Dr. R.MANAVALAN are Model Driven Software Development, Enterprise Computing, Block Chain Technology, Cloud Computing and DevOps."
What is the specialization of Ms.A.Kalyani?,Ms.A.Kalyani does not have any specified specialization.
What is the specialization of Dr. VENKATESAN. V?,"The specializations of Dr. VENKATESAN. V are Operating Systems, Software Engineering."
What is the specialization of Ms.A.Manoranjitham?,"The specializations of Ms.A.Manoranjitham are Data Structures, Networks, Network Security."
What is the specialization of Dr.N.Geetha?,"The specializations of Dr.N.Geetha are Wireless Network, Operating Systems, Internet of Things."
What is the specialization of Dr. S.Bhama?,"The specializations of Dr. S.Bhama are Database Management Systems, Software Engineering, Object Oriented Analysis and Design, Services Computing."
What is the specialization of Dr.B.Kalpana?,"The specializations of Dr.B.Kalpana are Data mining, Pattern recognition."
What is the specialization of Ms.J.Gowri Thangam?,The specialization of Ms.J.Gowri Thangam is Social Network Analysis.
What is the specialization of Dr.M.Subathra?,"The specializations of Dr.M.Subathra are Data Mining, Machine Learning."
What is the specialization of Ms.N Rajeswari?,"The specializations of Ms.N Rajeswari are Computer Networks, Computer Graphics, Web Technology, Multimedia, Object Computing & Data Structures, Programming in C."
What is the specialization of Ms.D. Maria Priscilla?,"The specializations of Ms.D. Maria Priscilla are Object Computing & Data Structures, Data Structures & Algorithms, Web Technology, Python Programming."
What is the specialization of Mr.C.Sundar?,"The specializations of Mr.C.Sundar are Optimization Techniques, OOPS, Web Technologies, Mobile App Development, Probability and Statistics."
What is the specialization of Dr.V.Umarani?,The specialization of Dr.V.Umarani is Data Mining.
What is the specialization of K.Gayathri?,"The specializations of K.Gayathri are Image Processing, Computer Vision."
What is the specialization of Dr.N.Ilayaraja?,"The specializations of Dr.N.Ilayaraja are Database Systems, Computer Networks, Pervasive Computing."
What is the specialization of Ms. A.S.AARTHI MAI?,The specialization of Ms. A.S.AARTHI MAI is Internet of Things.
What is the specialization of Dr. Bhuvaneswari A?,"The specializations of Dr. Bhuvaneswari A are Mobile Computing, Wireless Networks, Communication Protocols, Visual Analytics, Computer Graphics, Health Informatics."
What is the specialization of V.Srividya?,The specialization of V.Srividya is Finance.
What is the specialization of N.Vivek?,The specialization of N.Vivek is Operations Management.
What is the specialization of K Arul Rajan?,The specialization of K Arul Rajan is Marketing.
What is the specialization of G.Ramasundaram?,The specialization of G.Ramasundaram is Finance.
What is the specialization of Dr. V Thilagam?,"The specializations of Dr. V Thilagam are Accounting, Finance and Entrepreneurship."
What is the specialization of Dr B.Uma Maheswari?,"The specializations of Dr B.Uma Maheswari are Data Science, Business Analytics, Strategic Management."
What is the specialization of D.Kavitha?,The specialization of D.Kavitha is Finance.
What is the specialization of Dr.R.Sujatha?,The specialization of Dr.R.Sujatha is Information Systems and Operations.
What is the specialization of Dr. J. Sekkizhar?,The specialization of Dr. J. Sekkizhar is Statistics (decision science).
What is the specialization of Dr. R. Deepa?,"The specializations of Dr. R. Deepa are Emotional Intelligence, Business Communication."
What is the specialization of Kirupa Priyadarsini M?,The specialization of Kirupa Priyadarsini M is HR.
What is the specialization of Dr N Ramkumar?,The specialization of Dr N Ramkumar is Management (Human Resources).
What is the specialization of Dr.R.CHITRA?,The specialization of Dr.R.CHITRA is Marketing.
What is the specialization of Dr. Prabhu Thangadurai?,"The specializations of Dr. Prabhu Thangadurai are Environmental Management, Sustainability."
What is the specialization of V.Harish?,"The specializations of V.Harish are Marketing, Operations."
What is the specialization of Dr. R. THIYAGARAJAN?,The specialization of Dr. R. THIYAGARAJAN is HRM.
What is the specialization of P.Nalini?,The specialization of P.Nalini is General Management & Marketing.
What is the specialization of Karthikeyan L?,The specialization of Karthikeyan L is Finance.
What is the specialization of Dr.R.Muruganandham?,The specialization of Dr.R.Muruganandham is Operations Management.
What is the specialization of Dr.V.Sakthirama?,The specialization of Dr.V.Sakthirama is Marketing.
What is the specialization of Saranya Balu?,"The specializations of Saranya Balu are Water Engineering & Management, Environmental Management Systems, Waste Management."
What is the specialization of Deepa C Kumar?,The specialization of Deepa C Kumar is Marketing and Systems.
What is the specialization of M.Kalai Arasi?,The specialization of M.Kalai Arasi is Marketing.
What is the specialization of C.Dhanya?,The specialization of C.Dhanya is Finance.
What is the specialization of Dr.D.Susana?,The specialization of Dr.D.Susana is Finance.
What is the specialization of Pugazh Naavarasi A?,The specialization of Pugazh Naavarasi A is Finance and Marketing.
What is the specialization of R.Monica?,The specialization of R.Monica is Human Resource Management.
What is the specialization of Arun Karthik B?,The specialization of Arun Karthik B is Finance.
What is the specialization of N. Vijaykumar?,The specialization of N. Vijaykumar is Marketing.
What is the specialization of Dr. S. Narendra Rathnaraj?,The specialization of Dr. S. Narendra Rathnaraj is Marketing.
What is the specialization of Dr.C. Porkodi?,The specialization of Dr.C. Porkodi is Cryptography.
What is the specialization of Dr.K. Sangavai Professor (CAS)?,The specialization of Dr.K. Sangavai Professor (CAS) is Graph Theory and Networks.
What is the specialization of Dr.T.Vasanthi Professor (CAS)?,"The specializations of Dr.T.Vasanthi Professor (CAS) are Performance Analysis in Stochastic Models, Operation Research, Soft computing."
What is the specialization of Dr.M.Haridass?,"The specializations of Dr.M.Haridass are Queueing Theory, Applied Mathematics."
